AuthorId,RecipeId,Time,HighCalories,LowFat,HighFiber
2001012259B,73440,1799,0.0,0,0
437641B,365718,4201,0.0,0,1
1803340263D,141757,6299,0.0,1,0
854048B,280351,19801,0.0,1,1
2277685E,180505,5400,0.0,0,0
2002463647E,350271,1500,0.0,0,0
181611B,21518,3901,1.0,0,1
63028B,137143,2699,0.0,0,0
84090D,211563,4798,1.0,1,1
935221A,29280,299,0.0,0,1
1398447B,57685,6300,1.0,0,1
2001870109E,13148,2400,0.0,0,0
2000234778D,87782,240,1.0,1,0
1266338A,117043,241,1.0,0,1
140202C,48153,602,1.0,0,1
2000320777A,83407,2099,1.0,0,1
1156918D,375021,1201,1.0,0,1
2022846A,139664,1200,1.0,0,1
2001261950B,157936,1798,1.0,0,0
1234111D,461793,92700,0.0,0,0
2452430A,24618,5398,0.0,0,1
2001985366C,270809,1800,0.0,0,1
2529226A,31008,4499,0.0,1,0
2001509029C,84439,1200,1.0,0,0
2001180526B,348802,1200,1.0,1,0
457141A,14190,1800,1.0,0,0
1802710711E,6867,3597,1.0,0,0
879902D,48401,8399,0.0,0,1
29196B,37336,599,0.0,0,1
44589B,214804,1198,1.0,0,0
2001613130E,143935,2400,0.0,0,1
2002061544D,25990,300,0.0,1,0
149748B,28148,14699,0.0,1,1
2001389054E,122290,2822,1.0,0,0
1158906C,221280,2099,1.0,0,1
514750D,26756,2277,1.0,0,0
366076D,18890,1498,0.0,0,0
1522331B,28556,2700,0.0,0,0
369935B,90935,4799,1.0,0,1
891885A,381726,605101,0.0,0,0
1831783E,162015,2098,0.0,0,0
2002161877C,299587,5399,1.0,1,1
1459539E,292220,3899,0.0,0,0
2000333540A,87295,3600,1.0,0,1
1296139A,360075,3599,0.0,0,1
2002118378B,101619,2100,0.0,1,1
12866531A,49230,178,1.0,0,1
1374396B,138782,3301,1.0,0,0
1730072D,422827,2699,0.0,0,0
2002157358A,159967,1797,1.0,0,0
2002541281D,113216,119,0.0,1,0
935221A,25343,3298,0.0,0,0
518537E,203946,3601,0.0,0,0
2000455208C,55269,780,0.0,0,0
1800176478E,227791,120,1.0,0,0
2002674422C,56518,1800,0.0,0,0
526743D,7295,1802,1.0,1,0
394643C,36267,11101,0.0,1,0
2001311162C,496614,300,1.0,0,0
2002276319E,30081,1499,0.0,0,0
2837101D,209706,1319,0.0,0,0
1884676C,230872,2400,1.0,0,0
2001541813E,397620,1800,0.0,0,0
2246236E,283493,601,1.0,1,0
2001838181D,43427,1498,1.0,1,1
1137048B,166569,23401,0.0,0,0
1803253151B,144664,4200,0.0,0,0
2000455208C,125287,3900,1.0,0,0
1762670C,128347,29401,0.0,1,0
1384269B,60560,2100,1.0,1,0
225320B,264037,5098,0.0,0,0
2001528373D,102734,1799,0.0,0,0
1002792D,3503,3599,0.0,0,1
1802395849A,505821,1499,0.0,0,1
225320B,111739,3897,1.0,1,1
1846949C,413958,3599,0.0,0,1
209874C,37336,600,0.0,1,1
2002842433C,491289,1799,1.0,1,0
694721C,57687,3598,1.0,1,1
382527A,45809,14399,0.0,0,0
1744117D,438884,8100,0.0,0,1
104168A,151799,15000,0.0,1,1
1064640E,217062,3900,1.0,0,1
