AuthorId,RecipeId,Like
1000036C,320576,0
1000216B,189335,0
1000221A,133043,0
1000221A,90537,0
1000221A,334314,0
1000221A,17444,0
1000221A,149981,0
1000221A,25898,0
1000221A,38301,0
1000221A,103076,0
100026E,209118,0
1000399C,102933,0
1000475B,56276,0
1000509D,292905,0
1000555A,484453,0
1000555A,455068,0
1000555A,503818,0
1000555A,482354,0
1000555A,443880,0
1000555A,191676,0
1000555A,99415,0
1000555A,513879,0
1000555A,370663,0
1000555A,56965,0
1000555A,440346,0
1000555A,491477,0
1000555A,484895,1
1000555A,51785,1
1000590A,176016,0
1000696B,12656,0
1000696B,77482,0
1000696B,161324,0
1000696B,115905,0
1000696B,12633,1
100069A,130055,0
1000735B,46868,0
1000735B,22671,0
1000735B,81157,0
1000785A,95442,0
1000785A,294204,0
1000785A,199763,0
1000873D,96745,1
10008C,196312,0
10008C,263151,0
10008C,253946,0
10008C,102909,0
10008C,320479,0
10008C,262820,0
10008C,352040,0
10008C,356135,0
10008C,226849,0
10008C,215476,0
10008C,457823,0
10008C,221324,0
10008C,238546,0
10008C,266472,0
10008C,173982,0
10008C,242308,0
10008C,7577,0
10008C,58781,0
10008C,245562,0
10008C,232419,0
10008C,24345,0
10008C,113203,0
10008C,43607,0
10008C,21304,0
10008C,270302,0
10008C,168371,0
10008C,19402,0
10008C,240971,0
10008C,10041,0
10008C,457915,0
10008C,429619,0
10008C,109758,0
10008C,420619,0
10008C,239398,0
10008C,249041,0
10008C,246973,0
10008C,266737,0
10008C,189327,0
1000928D,87782,0
1000928D,356187,0
1000940C,436332,0
1001194E,420398,0
100138C,83754,0
1001473D,521042,0
100147A,105865,0
1001556D,96819,0
1001581B,39613,0
1001660A,23108,0
1001660A,6482,0
1001799A,158978,0
100196E,109348,0
1002104C,132794,0
1002357B,3595,0
1002357B,77666,1
1002391C,38290,0
1002391C,214587,0
1002864B,57953,0
100286E,82102,0
1002884C,169085,0
1002960B,79090,0
1002960B,263305,0
1002960B,118498,0
1002960B,72460,0
1002960B,322468,0
1002960B,252934,0
100296B,61304,0
1002979C,107841,0
1003214B,57763,0
100325C,153170,0
1003326B,215600,0
1003439C,129971,0
1003501D,182976,0
1003501D,59224,0
1003501D,179945,0
1003501D,204460,0
1003501D,186465,0
1003501D,33671,0
1003501D,86750,0
1003808A,63314,1
1004045B,289077,1
1004102E,385579,1
1004452C,106732,1
1004452C,31901,1
1004471B,115127,0
1004471B,424830,0
1004694B,24687,0
1004694B,447508,0
1004694B,100408,0
100476B,273013,1
1004977C,31371,0
1004977C,25754,0
1004977C,45809,0
1004977C,27208,0
1004977C,113198,0
1004977C,257276,0
1005204A,27684,0
1005276B,34382,0
1005276B,38748,0
1005276B,34103,0
1005276B,10733,0
1005276B,107786,0
1005276B,293636,1
1005591C,110733,0
1005623E,16773,0
1005623E,172804,0
1005623E,281278,0
1005623E,108184,0
1005623E,23276,0
1005623E,31958,0
1005623E,68406,0
1005623E,26431,0
1005623E,109264,0
1005623E,79595,0
1005800B,72864,0
1005800B,237985,0
1005800B,60634,0
1005800B,100355,0
1005800B,52025,0
1005800B,99702,0
1005800B,33113,0
1005800B,16883,0
1005803E,349246,0
1005914B,90231,1
100621E,22978,0
1006230D,446237,0
1006327E,133718,0
1006518E,9160,0
1006518E,68955,1
10065368A,110047,0
10065368A,176813,0
10065368A,203222,0
1006536D,48466,0
1006571C,17260,0
1006571C,10625,1
1006634C,11669,0
10066622C,9135,0
1006712E,49899,0
1006712E,4734,0
100677E,59829,0
1007193E,509581,1
1007197A,121258,0
1007249D,127262,1
1007252B,346500,0
1007252B,43186,0
1007252B,276891,0
