AuthorId,user_idx,diet_idx,age_bucket,like_ratio,liked_avg_calories,liked_avg_protein
10000120E,0,0,3,0.0,0.0,0.0
1000014D,1,1,0,0.0,0.0,0.0
1000015A,2,0,4,0.0,0.0,0.0
1000016E,3,0,2,0.0,0.0,0.0
1000027E,4,1,4,0.0,0.0,0.0
1000029E,5,1,2,0.0,0.0,0.0
1000036C,6,0,3,0.0,0.0,0.0
1000048E,7,0,3,0.0,0.0,0.0
1000079B,8,0,2,0.0,0.0,0.0
1000107C,9,2,4,0.0,0.0,0.0
100010C,10,0,4,0.0,0.0,0.0
100014A,11,0,4,0.0,0.0,0.0
1000162E,12,2,4,0.0,0.0,0.0
1000194E,13,1,3,0.0,0.0,0.0
1000216B,14,0,4,0.0,0.0,0.0
1000220D,15,0,4,0.0,0.0,0.0
1000221A,16,0,1,0.0,0.0,0.0
1000241D,17,2,2,0.0,0.0,0.0
1000253A,18,0,4,0.0,0.0,0.0
1000257D,19,2,2,0.0,0.0,0.0
100026E,20,2,1,0.0,0.0,0.0
1000274E,21,2,4,0.0,0.0,0.0
1000280A,22,1,1,0.0,0.0,0.0
10002A,23,2,4,0.0,0.0,0.0
1000312C,24,0,4,0.0,0.0,0.0
1000315E,25,2,3,0.0,0.0,0.0
1000395C,26,2,4,0.0,0.0,0.0
1000396E,27,0,4,0.0,0.0,0.0
1000399C,28,0,4,0.0,0.0,0.0
100039D,29,0,4,0.0,0.0,0.0
1000433B,30,0,2,0.0,0.0,0.0
1000469D,31,2,4,0.0,0.0,0.0
1000475B,32,0,4,0.0,0.0,0.0
1000480E,33,2,3,0.0,0.0,0.0
1000481B,34,2,3,0.0,0.0,0.0
1000497E,35,2,3,0.0,0.0,0.0
1000509D,36,0,1,0.0,0.0,0.0
1000513E,37,0,4,0.0,0.0,0.0
1000519A,38,2,3,0.0,0.0,0.0
1000536E,39,2,4,0.0,0.0,0.0
1000550C,40,1,4,0.0,0.0,0.0
1000555A,41,0,3,0.14285714285714285,575.15,16.35
1000572D,42,0,0,0.0,0.0,0.0
1000582E,43,2,3,0.0,0.0,0.0
1000590A,44,2,4,0.0,0.0,0.0
10005921B,45,2,3,0.0,0.0,0.0
1000601B,46,0,0,0.0,0.0,0.0
1000609B,47,0,1,0.0,0.0,0.0
1000625A,48,0,1,0.0,0.0,0.0
1000627A,49,0,4,0.0,0.0,0.0
1000646D,50,1,3,0.0,0.0,0.0
1000664B,51,0,2,0.0,0.0,0.0
100066B,52,0,0,0.0,0.0,0.0
1000696B,53,0,4,0.2,166.3,13.9
1000699E,54,0,4,0.0,0.0,0.0
100069A,55,2,3,0.0,0.0,0.0
10007238C,56,2,4,0.0,0.0,0.0
1000727C,57,1,4,0.0,0.0,0.0
1000735B,58,0,0,0.0,0.0,0.0
100073B,59,0,4,0.0,0.0,0.0
1000756B,60,0,2,0.0,0.0,0.0
1000785A,61,0,3,0.0,0.0,0.0
1000793C,62,2,4,0.0,0.0,0.0
1000826C,63,2,4,0.0,0.0,0.0
1000835C,64,1,4,0.0,0.0,0.0
10008598D,65,1,4,0.0,0.0,0.0
1000873D,66,1,4,1.0,331.2,11.7
10008C,67,0,1,0.0,0.0,0.0
1000928D,68,0,3,0.0,0.0,0.0
1000940C,69,0,4,0.0,0.0,0.0
100094E,70,0,3,0.0,0.0,0.0
1000971C,71,0,4,0.0,0.0,0.0
100098D,72,0,3,0.0,0.0,0.0
1001005C,73,0,4,0.0,0.0,0.0
1001007E,74,2,0,0.0,0.0,0.0
1001009D,75,0,1,0.0,0.0,0.0
1001037E,76,0,1,0.0,0.0,0.0
1001048E,77,0,4,0.0,0.0,0.0
1001050B,78,0,4,0.0,0.0,0.0
1001065E,79,0,1,0.0,0.0,0.0
1001068E,80,2,3,0.0,0.0,0.0
1001075B,81,0,2,0.0,0.0,0.0
1001078E,82,1,4,0.0,0.0,0.0
1001084A,83,1,2,0.0,0.0,0.0
1001134E,84,2,4,0.0,0.0,0.0
100113E,85,0,4,0.0,0.0,0.0
100114E,86,0,4,0.0,0.0,0.0
1001156C,87,2,4,0.0,0.0,0.0
1001170C,88,0,4,0.0,0.0,0.0
1001194E,89,2,1,0.0,0.0,0.0
1001195A,90,0,4,0.0,0.0,0.0
1001236D,91,0,4,0.0,0.0,0.0
1001238A,92,0,4,0.0,0.0,0.0
1001263E,93,2,4,0.0,0.0,0.0
1001264B,94,0,4,0.0,0.0,0.0
100131A,95,0,1,0.0,0.0,0.0
1001330A,96,0,3,0.0,0.0,0.0
1001335E,97,0,4,0.0,0.0,0.0
1001341D,98,2,2,0.0,0.0,0.0
1001352E,99,1,4,0.0,0.0,0.0
100138C,100,0,4,0.0,0.0,0.0
10013A,101,2,4,0.0,0.0,0.0
1001408B,102,2,4,0.0,0.0,0.0
1001414B,103,1,4,0.0,0.0,0.0
1001417D,104,1,2,0.0,0.0,0.0
1001444C,105,2,4,0.0,0.0,0.0
100145B,106,1,3,0.0,0.0,0.0
1001462C,107,1,2,0.0,0.0,0.0
1001473D,108,0,1,0.0,0.0,0.0
100147A,109,1,4,0.0,0.0,0.0
1001498C,110,2,1,0.0,0.0,0.0
100149D,111,0,2,0.0,0.0,0.0
1001503A,112,0,1,0.0,0.0,0.0
1001507E,113,0,2,0.0,0.0,0.0
1001538B,114,0,0,0.0,0.0,0.0
1001545B,115,2,1,0.0,0.0,0.0
1001556D,116,0,2,0.0,0.0,0.0
100155A,117,0,3,0.0,0.0,0.0
1001581B,118,1,2,0.0,0.0,0.0
100158C,119,2,2,0.0,0.0,0.0
100159A,120,0,0,0.0,0.0,0.0
1001601A,121,2,4,0.0,0.0,0.0
100160B,122,0,2,0.0,0.0,0.0
1001617A,123,2,4,0.0,0.0,0.0
100162C,124,2,4,0.0,0.0,0.0
1001635C,125,2,4,0.0,0.0,0.0
1001642E,126,2,3,0.0,0.0,0.0
1001646A,127,0,4,0.0,0.0,0.0
1001649C,128,2,1,0.0,0.0,0.0
1001652C,129,0,4,0.0,0.0,0.0
1001660A,130,0,2,0.0,0.0,0.0
1001667A,131,1,4,0.0,0.0,0.0
1001678B,132,0,4,0.0,0.0,0.0
1001714A,133,0,4,0.0,0.0,0.0
1001718A,134,2,2,0.0,0.0,0.0
1001736A,135,0,2,0.0,0.0,0.0
1001740C,136,0,4,0.0,0.0,0.0
1001794D,137,0,4,0.0,0.0,0.0
1001799A,138,2,1,0.0,0.0,0.0
1001827E,139,0,4,0.0,0.0,0.0
1001833C,140,2,2,0.0,0.0,0.0
1001837C,141,1,1,0.0,0.0,0.0
100183E,142,2,1,0.0,0.0,0.0
100185E,143,1,3,0.0,0.0,0.0
1001865E,144,2,2,0.0,0.0,0.0
1001872C,145,2,4,0.0,0.0,0.0
1001874C,146,1,2,0.0,0.0,0.0
1001883C,147,0,4,0.0,0.0,0.0
100189E,148,1,4,0.0,0.0,0.0
100190D,149,2,4,0.0,0.0,0.0
1001924C,150,0,4,0.0,0.0,0.0
1001941B,151,1,2,0.0,0.0,0.0
1001947B,152,1,2,0.0,0.0,0.0
1001959A,153,2,4,0.0,0.0,0.0
100196E,154,1,2,0.0,0.0,0.0
1001984C,155,1,4,0.0,0.0,0.0
1001995E,156,0,4,0.0,0.0,0.0
100199A,157,0,4,0.0,0.0,0.0
1002007A,158,1,1,0.0,0.0,0.0
1002018E,159,1,4,0.0,0.0,0.0
1002020C,160,0,4,0.0,0.0,0.0
1002035E,161,0,3,0.0,0.0,0.0
100203B,162,0,3,0.0,0.0,0.0
100207D,163,1,1,0.0,0.0,0.0
1002082E,164,1,4,0.0,0.0,0.0
1002102E,165,1,4,0.0,0.0,0.0
1002104C,166,2,4,0.0,0.0,0.0
1002106D,167,1,4,0.0,0.0,0.0
1002107D,168,1,4,0.0,0.0,0.0
1002124A,169,2,0,0.0,0.0,0.0
100214C,170,2,4,0.0,0.0,0.0
1002172D,171,2,2,0.0,0.0,0.0
1002175B,172,1,4,0.0,0.0,0.0
1002211C,173,0,4,0.0,0.0,0.0
1002215A,174,1,4,0.0,0.0,0.0
100221A,175,0,4,0.0,0.0,0.0
1002228C,176,0,4,0.0,0.0,0.0
1002258E,177,1,2,0.0,0.0,0.0
1002259B,178,1,4,0.0,0.0,0.0
100225A,179,0,4,0.0,0.0,0.0
1002265C,180,0,4,0.0,0.0,0.0
1002292C,181,0,4,0.0,0.0,0.0
1002329C,182,0,2,0.0,0.0,0.0
1002333B,183,0,3,0.0,0.0,0.0
1002337C,184,2,4,0.0,0.0,0.0
1002338C,185,0,4,0.0,0.0,0.0
1002356E,186,0,3,0.0,0.0,0.0
1002357B,187,2,4,0.5,446.6,13.1
1002365E,188,2,4,0.0,0.0,0.0
1002391C,189,0,1,0.0,0.0,0.0
